Call Type,Incident Number,Call Final Disposition,Neighborhooods - Analysis Boundaries
Citizen Assist / Service Call,4,Against Medical Advice,Portola
Water Rescue,12,Code 2 Transport,Russian Hill
Structure Fire,865,Fire,Hayes Valley
Gas Leak (Natural and LP Gases),28,Fire,Visitacion Valley
Train / Rail Fire,11,Fire,Bayview Hunters Point
Alarms,6,Other,Lakeshore
Medical Incident,32,Duplicate,Tenderloin
Traffic Collision,6,Unable to Locate,West of Twin Peaks
Medical Incident,224,Against Medical Advice,Sunset/Parkside
Other,6,Code 2 Transport,Inner Sunset
Medical Incident,31,Medical Examiner,Potrero Hill
Odor (Strange / Unknown),9,Patient Declined Transport,Western Addition
Medical Incident,72,Medical Examiner,Chinatown
Smoke Investigation (Outside),3,Unable to Locate,Financial District/South Beach
Smoke Investigation (Outside),4,Fire,Mission Bay
Other,59,Fire,Pacific Heights
Watercraft in Distress,18,Fire,Presidio
Structure Fire,3,Code 2 Transport,None
Citizen Assist / Service Call,7,Against Medical Advice,West of Twin Peaks
Traffic Collision,13,Unable to Locate,Portola
Other,4,Cancelled,Lakeshore
Traffic Collision,15,Code 3 Transport,Inner Richmond
Medical Incident,105,No Merit,Japantown
Other,3,Code 2 Transport,Hayes Valley
Medical Incident,6,Gone on Arrival,Presidio
Citizen Assist / Service Call,1,Other,Pacific Heights
Electrical Hazard,1,Fire,Japantown
Electrical Hazard,1,Cancelled,Bayview Hunters Point
Structure Fire,487,Fire,Inner Sunset
Traffic Collision,10,Other,Presidio Heights
Traffic Collision,15,SFPD,West of Twin Peaks
Other,58,Fire,None
HazMat,10,Fire,Mission
Structure Fire,15,Code 2 Transport,Pacific Heights
Industrial Accidents,4,Against Medical Advice,Financial District/South Beach
Structure Fire,14,Code 3 Transport,Lone Mountain/USF
Other,4,Patient Declined Transport,Mission
Traffic Collision,3,SFPD,Portola
Traffic Collision,15,Against Medical Advice,Visitacion Valley
Structure Fire,10,Patient Declined Transport,Western Addition
Other,9,Patient Declined Transport,West of Twin Peaks
Alarms,6,Cancelled,Potrero Hill
Outside Fire,3,Unable to Locate,Nob Hill
HazMat,4,Fire,West of Twin Peaks
Medical Incident,1,Duplicate,North Beach
Traffic Collision,21,SFPD,Mission
Medical Incident,2,SFPD,Presidio
Medical Incident,1,Fire,Seacliff
Electrical Hazard,33,Fire,Hayes Valley
Citizen Assist / Service Call,5,Code 2 Transport,Twin Peaks
Structure Fire,14,Cancelled,Marina
Medical Incident,2,Fire,McLaren Park
Fuel Spill,4,Fire,Oceanview/Merced/Ingleside
Medical Incident,537,No Merit,Hayes Valley
Other,7,Other,Potrero Hill
Odor (Strange / Unknown),8,Fire,Hayes Valley
Explosion,22,Fire,South of Market
Elevator / Escalator Rescue,4,Fire,Excelsior
Traffic Collision,39,Code 3 Transport,Outer Richmond
Medical Incident,1818,Code 2 Transport,Inner Sunset
Other,2,Against Medical Advice,Sunset/Parkside
Traffic Collision,2,Cancelled,Twin Peaks
Confined Space / Structure Collapse,14,Fire,Potrero Hill
Gas Leak (Natural and LP Gases),21,Fire,Lone Mountain/USF
Traffic Collision,17,Code 3 Transport,Castro/Upper Market
Citizen Assist / Service Call,2,SFPD,Lone Mountain/USF
Water Rescue,20,Cancelled,Financial District/South Beach
Traffic Collision,135,Code 2 Transport,Oceanview/Merced/Ingleside
Traffic Collision,13,No Merit,Mission Bay
Medical Incident,61,Cancelled,Lakeshore
Alarms,975,Fire,Mission Bay
Outside Fire,16,Fire,Noe Valley
Vehicle Fire,3,Code 3 Transport,Twin Peaks
HazMat,3,No Merit,Western Addition
Traffic Collision,8,Other,Marina
Medical Incident,48,Fire,Pacific Heights
Smoke Investigation (Outside),7,Fire,Oceanview/Merced/Ingleside
Alarms,3,No Merit,Lincoln Park
Outside Fire,595,Fire,Bayview Hunters Point
Structure Fire,11,Cancelled,Presidio Heights
Water Rescue,15,Patient Declined Transport,Bayview Hunters Point
Outside Fire,1,Unable to Locate,Sunset/Parkside
Structure Fire,10,SFPD,Haight Ashbury
Alarms,4,Patient Declined Transport,Tenderloin
Outside Fire,35,Fire,Treasure Island
Gas Leak (Natural and LP Gases),60,Fire,South of Market
Other,12,Unable to Locate,Presidio
Citizen Assist / Service Call,9,Code 3 Transport,Tenderloin
Citizen Assist / Service Call,1,SFPD,South of Market
Other,1,No Merit,Inner Sunset
Traffic Collision,23,Code 3 Transport,Lakeshore
Citizen Assist / Service Call,1,Unable to Locate,Chinatown
Medical Incident,301,No Merit,North Beach
Medical Incident,2,SFPD,McLaren Park
Traffic Collision,15,Against Medical Advice,Potrero Hill
Medical Incident,1709,Code 2 Transport,Haight Ashbury
Smoke Investigation (Outside),1,Cancelled,South of Market
Alarms,18,No Merit,Mission
Traffic Collision,14,Patient Declined Transport,None
Electrical Hazard,10,Fire,North Beach
Traffic Collision,22,Fire,Mission
Vehicle Fire,5,Code 2 Transport,Inner Sunset
Medical Incident,1,Fire,Presidio
Medical Incident,2,SFPD,Seacliff
Medical Incident,133,Cancelled,Outer Richmond
Medical Incident,171,Code 3 Transport,Twin Peaks
Medical Incident,404,Other,South of Market
Medical Incident,65,No Merit,Glen Park
Odor (Strange / Unknown),2,Fire,Glen Park
Vehicle Fire,20,Fire,Pacific Heights
Medical Incident,215,Cancelled,Castro/Upper Market
Traffic Collision,2,Against Medical Advice,Chinatown
Electrical Hazard,19,Fire,Glen Park
Structure Fire,2,Cancelled,Sunset/Parkside
Fuel Spill,4,Fire,Bernal Heights
Medical Incident,65,Against Medical Advice,Noe Valley
Structure Fire,2245,Fire,Tenderloin
Traffic Collision,399,Code 2 Transport,Financial District/South Beach
Other,13,Cancelled,Excelsior
Traffic Collision,10,Fire,Portola
Medical Incident,27,Other,Lone Mountain/USF
Traffic Collision,12,Other,Nob Hill
Medical Incident,279,Against Medical Advice,Bayview Hunters Point
Train / Rail Fire,13,Cancelled,Tenderloin
Other,4,Code 2 Transport,Glen Park
Smoke Investigation (Outside),21,Fire,Financial District/South Beach
Elevator / Escalator Rescue,1,No Merit,Marina
Traffic Collision,27,Fire,West of Twin Peaks
Medical Incident,29,Against Medical Advice,Treasure Island
Alarms,6,Other,Excelsior
Confined Space / Structure Collapse,6,Code 3 Transport,Japantown
Outside Fire,1,No Merit,Inner Richmond
Other,4,Code 2 Transport,North Beach
Smoke Investigation (Outside),1,Cancelled,Lone Mountain/USF
Fuel Spill,1,Fire,Golden Gate Park
Alarms,1406,Fire,Western Addition
Structure Fire,5,Cancelled,Nob Hill
Smoke Investigation (Outside),23,Fire,Bernal Heights
Traffic Collision,31,No Merit,Western Addition
Citizen Assist / Service Call,161,Fire,South of Market
Structure Fire,432,Fire,Haight Ashbury
Medical Incident,25477,Code 2 Transport,Tenderloin
Outside Fire,1,SFPD,Bayview Hunters Point
Medical Incident,49,Cancelled,Inner Richmond
Medical Incident,7,Gone on Arrival,Pacific Heights
Traffic Collision,123,Code 2 Transport,Golden Gate Park
Elevator / Escalator Rescue,2,Code 2 Transport,Bayview Hunters Point
Citizen Assist / Service Call,2,No Merit,Russian Hill
Citizen Assist / Service Call,10,Patient Declined Transport,Bayview Hunters Point
Medical Incident,54,Medical Examiner,Lone Mountain/USF
Other,3,Medical Examiner,Visitacion Valley
Citizen Assist / Service Call,8,Cancelled,Financial District/South Beach
Medical Incident,21,SFPD,Pacific Heights
Smoke Investigation (Outside),17,Fire,Golden Gate Park
Medical Incident,2,Unable to Locate,None
Other,1,Against Medical Advice,Marina
Citizen Assist / Service Call,9,Patient Declined Transport,Noe Valley
Other,9,No Merit,Tenderloin
Medical Incident,360,Medical Examiner,South of Market
Citizen Assist / Service Call,45,Fire,Lone Mountain/USF
Vehicle Fire,2,No Merit,Hayes Valley
Traffic Collision,246,Code 2 Transport,Bernal Heights
Fuel Spill,20,Fire,Financial District/South Beach
High Angle Rescue,7,Code 2 Transport,North Beach
Outside Fire,1,No Merit,Outer Richmond
Traffic Collision,39,Other,Sunset/Parkside
Other,2,Medical Examiner,Sunset/Parkside
Electrical Hazard,1,Cancelled,South of Market
Electrical Hazard,1,Other,Outer Richmond
Smoke Investigation (Outside),5,Fire,North Beach
Other,205,Fire,Mission
Train / Rail Incident,14,Fire,West of Twin Peaks
Structure Fire,11,Code 3 Transport,Noe Valley
Smoke Investigation (Outside),6,Fire,Glen Park
Medical Incident,4,Unable to Locate,Lincoln Park
Medical Incident,101,Cancelled,Russian Hill
Other,20,Code 2 Transport,Financial District/South Beach
Odor (Strange / Unknown),9,Fire,Financial District/South Beach
Medical Incident,13,Patient Declined Transport,McLaren Park
Traffic Collision,9,Cancelled,Excelsior
Traffic Collision,7,Other,Visitacion Valley
Elevator / Escalator Rescue,4,Fire,Twin Peaks
Medical Incident,1254,No Merit,Financial District/South Beach
Outside Fire,2,Cancelled,Bernal Heights
Other,13,Other,Nob Hill
Other,37,Fire,Portola
Traffic Collision,5,Unable to Locate,Pacific Heights
Medical Incident,12,Patient Declined Transport,Seacliff
Traffic Collision,19,Code 2 Transport,Glen Park
Gas Leak (Natural and LP Gases),4,No Merit,Lakeshore
Electrical Hazard,17,Fire,Financial District/South Beach
Other,103,Fire,West of Twin Peaks
Structure Fire,957,Fire,Western Addition
Citizen Assist / Service Call,9,Against Medical Advice,Pacific Heights
Outside Fire,1,Unable to Locate,Potrero Hill
Traffic Collision,101,Code 2 Transport,North Beach
Alarms,682,Fire,Haight Ashbury
Water Rescue,18,No Merit,Lakeshore
Traffic Collision,4,No Merit,Haight Ashbury
Explosion,8,Fire,Bayview Hunters Point
Electrical Hazard,47,Fire,Bernal Heights
Other,1,No Merit,Western Addition
Medical Incident,210,Patient Declined Transport,Pacific Heights
Structure Fire,32,Other,Excelsior
Medical Incident,1,Duplicate,Oceanview/Merced/Ingleside
Structure Fire,20,No Merit,West of Twin Peaks
Medical Incident,227,No Merit,Bernal Heights
Outside Fire,2,Cancelled,Financial District/South Beach
Odor (Strange / Unknown),4,Fire,Bernal Heights
Gas Leak (Natural and LP Gases),39,Fire,Noe Valley
Elevator / Escalator Rescue,1,No Merit,Potrero Hill
Fuel Spill,4,Fire,North Beach
Other,3,Code 2 Transport,Golden Gate Park
Industrial Accidents,4,Medical Examiner,Financial District/South Beach
Citizen Assist / Service Call,3,No Merit,Outer Richmond
Outside Fire,20,Fire,Lone Mountain/USF
Medical Incident,88,Cancelled,Outer Mission
Vehicle Fire,3,Other,Bayview Hunters Point
Other,3,Medical Examiner,Nob Hill
Citizen Assist / Service Call,13,Code 2 Transport,Excelsior
Citizen Assist / Service Call,4,Against Medical Advice,Seacliff
Vehicle Fire,11,Patient Declined Transport,Presidio
Citizen Assist / Service Call,2,No Merit,Castro/Upper Market
Electrical Hazard,1,SFPD,Oceanview/Merced/Ingleside
Gas Leak (Natural and LP Gases),1,Unable to Locate,Sunset/Parkside
Gas Leak (Natural and LP Gases),31,Fire,Treasure Island
Electrical Hazard,9,Fire,Golden Gate Park
Traffic Collision,13,Against Medical Advice,Marina
Water Rescue,47,Fire,Bayview Hunters Point
Traffic Collision,41,No Merit,Tenderloin
Medical Incident,76,No Merit,Golden Gate Park
Outside Fire,5,Patient Declined Transport,Treasure Island
Outside Fire,198,Fire,South of Market
Alarms,4156,Fire,Tenderloin
Water Rescue,12,Unable to Locate,Sunset/Parkside
Other,37,Code 2 Transport,Bernal Heights
Water Rescue,11,Fire,Treasure Island
Explosion,7,Fire,Noe Valley
Gas Leak (Natural and LP Gases),108,Fire,Bayview Hunters Point
Structure Fire,34,No Merit,Mission
Citizen Assist / Service Call,1,SFPD,Bayview Hunters Point
Medical Incident,4963,Code 2 Transport,Western Addition
Citizen Assist / Service Call,1,Unable to Locate,Marina
Other,2,Other,Sunset/Parkside
Traffic Collision,218,Code 2 Transport,Hayes Valley
Vehicle Fire,4,No Merit,Bernal Heights
Structure Fire,11,Patient Declined Transport,Tenderloin
Other,2,Gone on Arrival,Mission
Citizen Assist / Service Call,1,Unable to Locate,Nob Hill
Medical Incident,21,Other,Treasure Island
Smoke Investigation (Outside),2,Fire,Japantown
Other,1,Other,Presidio Heights
Medical Incident,8,Duplicate,Financial District/South Beach
Other,8,SFPD,West of Twin Peaks
Traffic Collision,36,Code 3 Transport,Outer Mission
Outside Fire,2,Code 2 Transport,Twin Peaks
Smoke Investigation (Outside),3,Cancelled,Treasure Island
Medical Incident,105,Other,Bayview Hunters Point
Medical Incident,40,Patient Declined Transport,Presidio
Traffic Collision,263,Patient Declined Transport,Mission
Other,2,SFPD,Portola
Medical Incident,76,Against Medical Advice,Lone Mountain/USF
Traffic Collision,18,Against Medical Advice,Nob Hill
Traffic Collision,3,Other,Chinatown
Structure Fire,324,Fire,Mission Bay
Medical Incident,20,Other,Noe Valley
Medical Incident,583,Against Medical Advice,South of Market
Traffic Collision,50,Patient Declined Transport,West of Twin Peaks
Confined Space / Structure Collapse,7,Fire,Marina
Other,13,SFPD,Mission
Smoke Investigation (Outside),7,Fire,Hayes Valley
Traffic Collision,25,Code 2 Transport,Japantown
Traffic Collision,19,Patient Declined Transport,Portola
Traffic Collision,23,Other,Potrero Hill
Industrial Accidents,4,Code 3 Transport,Mission
Smoke Investigation (Outside),1,Unable to Locate,Haight Ashbury
Traffic Collision,57,Against Medical Advice,Sunset/Parkside
Medical Incident,79,Unable to Locate,West of Twin Peaks
Citizen Assist / Service Call,207,Fire,Bayview Hunters Point
Other,1,Cancelled,Twin Peaks
Outside Fire,1,Other,McLaren Park
Traffic Collision,9,Code 3 Transport,Russian Hill
Alarms,3,Cancelled,Marina
Alarms,6,Other,Twin Peaks
Fuel Spill,3,Cancelled,Bayview Hunters Point
Alarms,4,Code 3 Transport,South of Market
Outside Fire,2,SFPD,South of Market
Elevator / Escalator Rescue,1,Cancelled,West of Twin Peaks
Alarms,3,SFPD,Tenderloin
Medical Incident,22,Unable to Locate,Portola
Other,4,No Merit,Mission Bay
Other,20,Code 2 Transport,Oceanview/Merced/Ingleside
Citizen Assist / Service Call,2,Code 3 Transport,Western Addition
Medical Incident,57,Medical Examiner,Noe Valley
Citizen Assist / Service Call,3,Patient Declined Transport,South of Market
Citizen Assist / Service Call,17,Fire,Treasure Island
Alarms,14,Code 2 Transport,Pacific Heights
Gas Leak (Natural and LP Gases),3,No Merit,Castro/Upper Market
Electrical Hazard,59,Fire,Oceanview/Merced/Ingleside
Gas Leak (Natural and LP Gases),4,Code 2 Transport,Excelsior
"Extrication / Entrapped (Machinery, Vehicle)",2,Fire,Castro/Upper Market
Gas Leak (Natural and LP Gases),8,No Merit,Outer Richmond
Medical Incident,2,CHP,Outer Richmond
Citizen Assist / Service Call,4,Patient Declined Transport,Lone Mountain/USF
Medical Incident,213,Medical Examiner,Bayview Hunters Point
Medical Incident,94,No Merit,Oceanview/Merced/Ingleside
Medical Incident,2279,Code 2 Transport,Mission Bay
Fuel Spill,3,Fire,Hayes Valley
Elevator / Escalator Rescue,3,Cancelled,Mission
Odor (Strange / Unknown),4,Fire,Oceanview/Merced/Ingleside
Other,3,Fire,Lincoln Park
Vehicle Fire,4,No Merit,Financial District/South Beach
Other,2,Medical Examiner,Presidio Heights
Medical Incident,20,Medical Examiner,Treasure Island
Citizen Assist / Service Call,98,Fire,Noe Valley
Assist Police,5,Other,Bayview Hunters Point
Medical Incident,502,Code 3 Transport,Excelsior
HazMat,7,No Merit,Tenderloin
Traffic Collision,4,Unable to Locate,Presidio
Water Rescue,23,No Merit,Outer Richmond
Alarms,880,Fire,Inner Sunset
Medical Incident,488,Unable to Locate,Mission
Citizen Assist / Service Call,3,Cancelled,Hayes Valley
Traffic Collision,7,No Merit,Inner Sunset
Other,1,Against Medical Advice,South of Market
Outside Fire,2,No Merit,Twin Peaks
Citizen Assist / Service Call,9,Code 2 Transport,Lakeshore
Fuel Spill,6,Fire,Inner Sunset
Explosion,7,Fire,Sunset/Parkside
Medical Incident,6,Gone on Arrival,Portola
Industrial Accidents,14,Code 2 Transport,Bayview Hunters Point
Medical Incident,113,Medical Examiner,Marina
Elevator / Escalator Rescue,5,Fire,Outer Mission
Industrial Accidents,4,Code 2 Transport,Treasure Island
Medical Incident,15,Gone on Arrival,West of Twin Peaks
Vehicle Fire,7,Code 2 Transport,Bernal Heights
Traffic Collision,47,No Merit,Hayes Valley
Citizen Assist / Service Call,2,Cancelled,Inner Sunset
Alarms,1120,Fire,Hayes Valley
Medical Incident,137,SFPD,Mission
Citizen Assist / Service Call,114,Fire,Marina
Other,11,Other,Treasure Island
Medical Incident,8,Other,Presidio Heights
Medical Incident,26,SFPD,West of Twin Peaks
Medical Incident,199,Code 3 Transport,Inner Richmond
Medical Incident,106,Gone on Arrival,Mission
Alarms,12,Cancelled,Bayview Hunters Point
Alarms,318,Fire,Japantown
Water Rescue,102,Fire,Sunset/Parkside
Outside Fire,8,Unable to Locate,South of Market
Medical Incident,7,SFPD,Portola
Structure Fire,316,Fire,Oceanview/Merced/Ingleside
Medical Incident,70,Against Medical Advice,Visitacion Valley
Other,21,Other,Bayview Hunters Point
Gas Leak (Natural and LP Gases),57,Fire,Sunset/Parkside
Other,3,Medical Examiner,Bayview Hunters Point
Medical Incident,1,Duplicate,Western Addition
Other,3,Code 2 Transport,Mission Bay
Vehicle Fire,14,Fire,Portola
Smoke Investigation (Outside),1,Unable to Locate,Glen Park
Medical Incident,2,Fire,Lincoln Park
Elevator / Escalator Rescue,11,No Merit,South of Market
Other,3,Unable to Locate,Mission
Vehicle Fire,11,Fire,West of Twin Peaks
Elevator / Escalator Rescue,19,Fire,Russian Hill
Medical Incident,33,Medical Examiner,Presidio Heights
Explosion,4,Fire,Nob Hill
Smoke Investigation (Outside),18,Fire,Inner Sunset
Medical Incident,280,Code 3 Transport,Castro/Upper Market
Administrative,2,Other,Pacific Heights
Gas Leak (Natural and LP Gases),79,Fire,Nob Hill
Water Rescue,49,Code 2 Transport,Outer Richmond
Structure Fire,15,Against Medical Advice,Russian Hill
Outside Fire,144,Fire,Potrero Hill
Medical Incident,437,Code 3 Transport,Outer Richmond
Vehicle Fire,73,Fire,Mission
Traffic Collision,64,Code 2 Transport,Inner Sunset
Structure Fire,24,Unable to Locate,Western Addition
Medical Incident,23,Cancelled,Twin Peaks
Electrical Hazard,9,Fire,Mission Bay
Gas Leak (Natural and LP Gases),2,No Merit,Excelsior
Traffic Collision,2,Fire,Pacific Heights
Water Rescue,37,Fire,Nob Hill
Medical Incident,38,Other,Marina
Outside Fire,53,Fire,Chinatown
Citizen Assist / Service Call,53,Fire,Presidio Heights
Gas Leak (Natural and LP Gases),3,Code 2 Transport,Outer Richmond
Medical Incident,247,No Merit,Mission Bay
Medical Incident,1738,Code 2 Transport,Oceanview/Merced/Ingleside
Traffic Collision,5,Cancelled,Lakeshore
Vehicle Fire,9,Code 2 Transport,Financial District/South Beach
Outside Fire,1,Cancelled,Western Addition
Traffic Collision,60,Against Medical Advice,Bayview Hunters Point
Citizen Assist / Service Call,9,Code 2 Transport,Inner Richmond
Citizen Assist / Service Call,165,Fire,Sunset/Parkside
Citizen Assist / Service Call,6,Cancelled,Tenderloin
Citizen Assist / Service Call,3,Medical Examiner,Mission
HazMat,3,No Merit,Hayes Valley
Water Rescue,117,Fire,Marina
Medical Incident,66,Other,Nob Hill
Medical Incident,20,Fire,Portola
Other,12,No Merit,Financial District/South Beach
Vehicle Fire,3,Fire,Lincoln Park
Electrical Hazard,1,No Merit,West of Twin Peaks
Fuel Spill,9,Fire,Tenderloin
Structure Fire,498,Fire,Bernal Heights
Electrical Hazard,1,Cancelled,Visitacion Valley
Medical Incident,82,Fire,West of Twin Peaks
Traffic Collision,40,Against Medical Advice,Treasure Island
Citizen Assist / Service Call,3,Unable to Locate,Bayview Hunters Point
Smoke Investigation (Outside),15,Fire,Haight Ashbury
Gas Leak (Natural and LP Gases),72,Fire,Marina
Odor (Strange / Unknown),1,No Merit,West of Twin Peaks
Alarms,3,No Merit,Presidio
Odor (Strange / Unknown),5,No Merit,Mission
Alarms,3,Other,Russian Hill
Medical Incident,5,Patient Declined Transport,None
Traffic Collision,13,Fire,Presidio
Medical Incident,181,Fire,Mission
Explosion,5,Fire,Marina
Medical Incident,183,Code 3 Transport,Lakeshore
Traffic Collision,2,No Merit,North Beach
Medical Incident,236,Medical Examiner,Sunset/Parkside
Electrical Hazard,6,No Merit,Mission
Traffic Collision,2,SFPD,McLaren Park
Traffic Collision,71,Code 2 Transport,Haight Ashbury
Alarms,1022,Fire,North Beach
Medical Incident,57,Against Medical Advice,Potrero Hill
Traffic Collision,9,Cancelled,Castro/Upper Market
Water Rescue,15,Code 3 Transport,Financial District/South Beach
Medical Incident,121,Against Medical Advice,Chinatown
Structure Fire,78,Fire,Golden Gate Park
Traffic Collision,11,Against Medical Advice,Noe Valley
Other,11,Cancelled,Russian Hill
Medical Incident,9158,Code 2 Transport,Financial District/South Beach
Traffic Collision,13,Cancelled,Outer Richmond
Traffic Collision,66,Other,South of Market
Traffic Collision,10,No Merit,Glen Park
Traffic Collision,4,Code 3 Transport,Twin Peaks
Alarms,203,Fire,Glen Park
Traffic Collision,18,Medical Examiner,South of Market
Assist Police,2,Fire,Mission
Citizen Assist / Service Call,5,Patient Declined Transport,Chinatown
Fuel Spill,4,Fire,Haight Ashbury
Elevator / Escalator Rescue,2,Against Medical Advice,Financial District/South Beach
Citizen Assist / Service Call,14,Code 2 Transport,Outer Richmond
Gas Leak (Natural and LP Gases),32,Fire,Presidio Heights
Traffic Collision,8,SFPD,Pacific Heights
Smoke Investigation (Outside),12,Fire,Tenderloin
Citizen Assist / Service Call,2,No Merit,Excelsior
Fuel Spill,1,Cancelled,Nob Hill
Citizen Assist / Service Call,14,Code 2 Transport,Castro/Upper Market
Citizen Assist / Service Call,3,Cancelled,Haight Ashbury
Other,13,Code 2 Transport,Western Addition
Structure Fire,53,Other,Castro/Upper Market
Medical Incident,44,Other,Sunset/Parkside
Structure Fire,3,Code 2 Transport,West of Twin Peaks
Medical Incident,3,Duplicate,Mission Bay
Outside Fire,2,SFPD,Potrero Hill
Citizen Assist / Service Call,1,Patient Declined Transport,Potrero Hill
Medical Incident,2078,Code 2 Transport,Bernal Heights
Citizen Assist / Service Call,128,Fire,Nob Hill
Structure Fire,2,Cancelled,South of Market
Other,1,No Merit,Bernal Heights
Electrical Hazard,13,Fire,Western Addition
Alarms,6,Other,Outer Mission
Odor (Strange / Unknown),10,Fire,Western Addition
Structure Fire,47,Code 2 Transport,Mission
HazMat,4,Fire,Pacific Heights
Vehicle Fire,8,Other,Presidio Heights
"Extrication / Entrapped (Machinery, Vehicle)",7,Code 2 Transport,Bayview Hunters Point
Medical Incident,474,No Merit,Western Addition
Smoke Investigation (Outside),1,Unable to Locate,Hayes Valley
Other,6,Patient Declined Transport,Pacific Heights
Citizen Assist / Service Call,1,Other,Mission
Other,3,Cancelled,Outer Mission
Outside Fire,90,Fire,Visitacion Valley
Medical Incident,184,Medical Examiner,Nob Hill
Traffic Collision,361,Code 2 Transport,Tenderloin
Structure Fire,1375,Fire,Financial District/South Beach
Medical Incident,2,SFPD,Lincoln Park
Medical Incident,570,Code 2 Transport,Golden Gate Park
Traffic Collision,12,Cancelled,Inner Richmond
Traffic Collision,2,Gone on Arrival,Pacific Heights
Assist Police,2,Fire,West of Twin Peaks
Vehicle Fire,35,Fire,Sunset/Parkside
Smoke Investigation (Outside),1,Unable to Locate,Outer Mission
Smoke Investigation (Outside),1,No Merit,Potrero Hill
Vehicle Fire,12,Unable to Locate,Treasure Island
Vehicle Fire,7,Cancelled,Tenderloin
Traffic Collision,2,Other,Seacliff
Structure Fire,282,Fire,Lakeshore
Medical Incident,191,Patient Declined Transport,Visitacion Valley
Structure Fire,14,Code 3 Transport,Mission
"Extrication / Entrapped (Machinery, Vehicle)",6,Code 3 Transport,Bayview Hunters Point
Citizen Assist / Service Call,1,Fire,Lincoln Park
Alarms,6,Duplicate,South of Market
Other,43,Fire,Noe Valley
Vehicle Fire,6,Unable to Locate,Bayview Hunters Point
Medical Incident,32,Gone on Arrival,Nob Hill
Traffic Collision,13,SFPD,South of Market
Gas Leak (Natural and LP Gases),7,No Merit,Western Addition
Traffic Collision,93,Code 3 Transport,Tenderloin
Medical Incident,2,CHP,Western Addition
Medical Incident,57,Code 3 Transport,Golden Gate Park
Other,10,Cancelled,Hayes Valley
Medical Incident,8,Medical Examiner,Lincoln Park
Other,2,Cancelled,Japantown
Other,177,Fire,Bayview Hunters Point
Citizen Assist / Service Call,3,Cancelled,Twin Peaks
Citizen Assist / Service Call,2,Code 3 Transport,Outer Richmond
Alarms,5,Code 2 Transport,Chinatown
Traffic Collision,16,Gone on Arrival,South of Market
Medical Incident,52,SFPD,Nob Hill
Citizen Assist / Service Call,2,No Merit,Mission Bay
Citizen Assist / Service Call,15,Code 2 Transport,Oceanview/Merced/Ingleside
Water Rescue,13,Other,Sunset/Parkside
Alarms,3,Other,Japantown
Fuel Spill,4,Fire,Twin Peaks
Other,4,Code 3 Transport,Western Addition
Alarms,4,Code 2 Transport,Potrero Hill
Medical Incident,203,Code 3 Transport,Bernal Heights
HazMat,10,Fire,South of Market
Other,1,Unable to Locate,Sunset/Parkside
Medical Incident,26,Fire,Presidio Heights
Other,64,Fire,Treasure Island
Other,7,Patient Declined Transport,South of Market
Medical Incident,7,Gone on Arrival,Sunset/Parkside
Gas Leak (Natural and LP Gases),5,Code 2 Transport,Financial District/South Beach
Elevator / Escalator Rescue,20,Fire,North Beach
Medical Incident,2067,Code 2 Transport,Lakeshore
Electrical Hazard,1,Unable to Locate,Outer Richmond
Water Rescue,31,Code 3 Transport,Lakeshore
Traffic Collision,16,Code 3 Transport,Haight Ashbury
Traffic Collision,33,Cancelled,Oceanview/Merced/Ingleside
Gas Leak (Natural and LP Gases),167,Fire,Mission
Water Rescue,156,Code 2 Transport,Financial District/South Beach
Citizen Assist / Service Call,3,SFPD,Mission
Structure Fire,10,No Merit,Bayview Hunters Point
Explosion,1,Fire,West of Twin Peaks
Elevator / Escalator Rescue,1,Fire,Glen Park
Medical Incident,493,Code 3 Transport,Financial District/South Beach
Medical Incident,61,Cancelled,Inner Sunset
Vehicle Fire,14,Fire,Nob Hill
Outside Fire,5,Fire,None
Traffic Collision,18,Code 2 Transport,Twin Peaks
Traffic Collision,2,CHP,North Beach
Structure Fire,2,Cancelled,Seacliff
Structure Fire,2,No Merit,Noe Valley
Outside Fire,1,Other,Chinatown
Water Rescue,6,Fire,Portola
Medical Incident,28,Fire,Marina
Smoke Investigation (Outside),12,Fire,Twin Peaks
Traffic Collision,2,Other,Pacific Heights
Gas Leak (Natural and LP Gases),43,Fire,West of Twin Peaks
Other,1,No Merit,Lakeshore
Structure Fire,17,Code 2 Transport,Presidio Heights
Medical Incident,25,SFPD,Sunset/Parkside
Outside Fire,3,Other,Potrero Hill
Gas Leak (Natural and LP Gases),11,Fire,Portola
Medical Incident,4,SFPD,Presidio Heights
Train / Rail Incident,8,Code 3 Transport,Mission Bay
Smoke Investigation (Outside),1,Other,Haight Ashbury
Odor (Strange / Unknown),5,Fire,Excelsior
Other,1,SFPD,Treasure Island
Traffic Collision,67,Cancelled,Financial District/South Beach
Medical Incident,3362,Code 2 Transport,Castro/Upper Market
Medical Incident,132,No Merit,Excelsior
Structure Fire,15,Code 2 Transport,Sunset/Parkside
Structure Fire,401,Fire,Inner Richmond
Medical Incident,41,Other,West of Twin Peaks
Water Rescue,20,Code 3 Transport,Outer Richmond
Traffic Collision,12,Patient Declined Transport,Noe Valley
Medical Incident,243,Patient Declined Transport,Chinatown
Medical Incident,3159,Code 2 Transport,Outer Richmond
Traffic Collision,17,Code 3 Transport,Inner Sunset
Electrical Hazard,88,Fire,Excelsior
Citizen Assist / Service Call,4,Code 2 Transport,Bernal Heights
Medical Incident,222,Patient Declined Transport,Potrero Hill
